,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,betweenness,percentage_votes_used,created,unique_contributed,votes_before,did_bid,total_contributions,did_contribute,did_create,actual_airdrop
1224,0x2d19343f60329c79041993704d22801046f3488a,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.002,0.15,0.0,1.1999999999999999e-05
1225,0x2d19f32620f647d08fa8b9a0fa5206fae15c0ed5,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.01,0.15,0.0,6e-05
1226,0x2d1d56e20b4a99d994d4214f2d8ea6681fcdc3f0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.04,0.0,0.0,20,0,0.0,0.0,0.0,0.0008
1227,0x2d21108aaf88e58619ef62263835f81fddd570e9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1228,0x2d2728eeb34013e79ff5f0bacf08451d8b23c5b8,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.04,0.0,0.0,20,0,0.0,0.0,0.0,0.0008
1229,0x2d2f5f9d4cd940380db7b41bd30a211ced244e6d,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.04,0.0,0.0,20,0,0.0,0.0,0.0,0.0008
1230,0x2d2fc920db538af18d3ea493ed95f9005a65fe4c,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0526315789473684,0.0,0.0,20,0,0.0,0.0,0.0,0.001052631578947368
1231,0x2d3f495f0e2370a68b60cebb4406cbc0be3d2145,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.2,0.0,0.0,20,0,0.0,0.0,0.0,0.004
1232,0x2d48c6432cc4000a55de200341a8e65a1cafa400,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1,0.15,0.0,0.0006
1233,0x2d55e23a891e5f7aa77d83bea870336d29868034,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.11,0.15,0.0,0.00066
1234,0x2d5fb580b32cd667c046a789a9cc5dfa129997f0,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1235,0x2d639d4a4d471fb54da6d88def2d263acf3108a8,0.0,0.1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.04,10,0,0.1,0.15,0.0,0.0006
1236,0x2d6fde72cd842c967c93ddbda312f6b951394740,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.5,0.15,0.0,0.003
1237,0x2d887bf73d3667528098686aa3adc43fd9a5e0c6,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.04,10,0,0.05,0.15,0.0,0.0003
1238,0x2d94b33fd4ab6968c0dce5f2b73a3eae1e126a4e,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1239,0x2d97bd37663a51d549d8083c1a39eea3cc82c0ae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1240,0x2d9bb0ca565ae83b93737e4f2d9acc0d2ae21055,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.01,0.15,0.0,6e-05
1241,0x2da2b7a81f6105a7e82816f1eb058fb5225e6e51,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.05,0.0,0.0,20,0,0.0,0.0,0.0,0.001
1242,0x2db3c0f42022fdc8dfe70036fee85e48a24b88af,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,1.0,0.15,0.0,0.006
1243,0x2db5f6bd5851696e8d0fbb4feac06bfa6d53c281,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.3302752293577982,0.0,0.0,90,0,0.0,0.0,0.0,0.029724770642201834
